"","location","year","season","tmax_avg","location","season","tmin_avg","location","lat","long","alt","bloom_date","bloom_doy"
"1","washingtondc",1950,"Winter",121.186440677966,"washingtondc","Winter",9.75,"washingtondc",38.8853496,-77.0386278,0,"1950-04-09",99
"2","washingtondc",1950,"Winter",121.186440677966,"washingtondc","Spring",55.3536585365854,"washingtondc",38.8853496,-77.0386278,0,"1950-04-09",99
"3","washingtondc",1950,"Winter",121.186440677966,"washingtondc","Summer",170.347826086957,"washingtondc",38.8853496,-77.0386278,0,"1950-04-09",99
"4","washingtondc",1950,"Winter",121.186440677966,"washingtondc","Fall",81.2888888888889,"washingtondc",38.8853496,-77.0386278,0,"1950-04-09",99
"5","washingtondc",1950,"Spring",190.373626373626,"washingtondc","Winter",9.75,"washingtondc",38.8853496,-77.0386278,0,"1950-04-09",99
"6","washingtondc",1950,"Spring",190.373626373626,"washingtondc","Spring",55.3536585365854,"washingtondc",38.8853496,-77.0386278,0,"1950-04-09",99
"7","washingtondc",1950,"Spring",190.373626373626,"washingtondc","Summer",170.347826086957,"washingtondc",38.8853496,-77.0386278,0,"1950-04-09",99
"8","washingtondc",1950,"Spring",190.373626373626,"washingtondc","Fall",81.2888888888889,"washingtondc",38.8853496,-77.0386278,0,"1950-04-09",99
"9","washingtondc",1950,"Summer",301.739130434783,"washingtondc","Winter",9.75,"washingtondc",38.8853496,-77.0386278,0,"1950-04-09",99
"10","washingtondc",1950,"Summer",301.739130434783,"washingtondc","Spring",55.3536585365854,"washingtondc",38.8853496,-77.0386278,0,"1950-04-09",99
"11","washingtondc",1950,"Summer",301.739130434783,"washingtondc","Summer",170.347826086957,"washingtondc",38.8853496,-77.0386278,0,"1950-04-09",99
"12","washingtondc",1950,"Summer",301.739130434783,"washingtondc","Fall",81.2888888888889,"washingtondc",38.8853496,-77.0386278,0,"1950-04-09",99
"13","washingtondc",1950,"Fall",206.877777777778,"washingtondc","Winter",9.75,"washingtondc",38.8853496,-77.0386278,0,"1950-04-09",99
"14","washingtondc",1950,"Fall",206.877777777778,"washingtondc","Spring",55.3536585365854,"washingtondc",38.8853496,-77.0386278,0,"1950-04-09",99
"15","washingtondc",1950,"Fall",206.877777777778,"washingtondc","Summer",170.347826086957,"washingtondc",38.8853496,-77.0386278,0,"1950-04-09",99
"16","washingtondc",1950,"Fall",206.877777777778,"washingtondc","Fall",81.2888888888889,"washingtondc",38.8853496,-77.0386278,0,"1950-04-09",99
"17","washingtondc",1951,"Winter",87.1627906976744,"washingtondc","Winter",-23.9767441860465,"washingtondc",38.8853496,-77.0386278,0,"1951-04-06",96
"18","washingtondc",1951,"Winter",87.1627906976744,"washingtondc","Spring",61.0795454545455,"washingtondc",38.8853496,-77.0386278,0,"1951-04-06",96
"19","washingtondc",1951,"Winter",87.1627906976744,"washingtondc","Summer",175.606741573034,"washingtondc",38.8853496,-77.0386278,0,"1951-04-06",96
"20","washingtondc",1951,"Winter",87.1627906976744,"washingtondc","Fall",85.6629213483146,"washingtondc",38.8853496,-77.0386278,0,"1951-04-06",96
"21","washingtondc",1951,"Spring",202.674157303371,"washingtondc","Winter",-23.9767441860465,"washingtondc",38.8853496,-77.0386278,0,"1951-04-06",96
"22","washingtondc",1951,"Spring",202.674157303371,"washingtondc","Spring",61.0795454545455,"washingtondc",38.8853496,-77.0386278,0,"1951-04-06",96
"23","washingtondc",1951,"Spring",202.674157303371,"washingtondc","Summer",175.606741573034,"washingtondc",38.8853496,-77.0386278,0,"1951-04-06",96
"24","washingtondc",1951,"Spring",202.674157303371,"washingtondc","Fall",85.6629213483146,"washingtondc",38.8853496,-77.0386278,0,"1951-04-06",96
"25","washingtondc",1951,"Summer",307.230769230769,"washingtondc","Winter",-23.9767441860465,"washingtondc",38.8853496,-77.0386278,0,"1951-04-06",96
"26","washingtondc",1951,"Summer",307.230769230769,"washingtondc","Spring",61.0795454545455,"washingtondc",38.8853496,-77.0386278,0,"1951-04-06",96
"27","washingtondc",1951,"Summer",307.230769230769,"washingtondc","Summer",175.606741573034,"washingtondc",38.8853496,-77.0386278,0,"1951-04-06",96
"28","washingtondc",1951,"Summer",307.230769230769,"washingtondc","Fall",85.6629213483146,"washingtondc",38.8853496,-77.0386278,0,"1951-04-06",96
"29","washingtondc",1951,"Fall",216.426966292135,"washingtondc","Winter",-23.9767441860465,"washingtondc",38.8853496,-77.0386278,0,"1951-04-06",96
"30","washingtondc",1951,"Fall",216.426966292135,"washingtondc","Spring",61.0795454545455,"washingtondc",38.8853496,-77.0386278,0,"1951-04-06",96
"31","washingtondc",1951,"Fall",216.426966292135,"washingtondc","Summer",175.606741573034,"washingtondc",38.8853496,-77.0386278,0,"1951-04-06",96
"32","washingtondc",1951,"Fall",216.426966292135,"washingtondc","Fall",85.6629213483146,"washingtondc",38.8853496,-77.0386278,0,"1951-04-06",96
"33","washingtondc",1952,"Winter",102.544444444444,"washingtondc","Winter",0.322222222222222,"washingtondc",38.8853496,-77.0386278,0,"1952-04-09",100
"34","washingtondc",1952,"Winter",102.544444444444,"washingtondc","Spring",71.4302325581395,"washingtondc",38.8853496,-77.0386278,0,"1952-04-09",100
"35","washingtondc",1952,"Winter",102.544444444444,"washingtondc","Summer",189.404761904762,"washingtondc",38.8853496,-77.0386278,0,"1952-04-09",100
"36","washingtondc",1952,"Winter",102.544444444444,"washingtondc","Fall",55.2142857142857,"washingtondc",38.8853496,-77.0386278,0,"1952-04-09",100
"37","washingtondc",1952,"Spring",189.813953488372,"washingtondc","Winter",0.322222222222222,"washingtondc",38.8853496,-77.0386278,0,"1952-04-09",100
"38","washingtondc",1952,"Spring",189.813953488372,"washingtondc","Spring",71.4302325581395,"washingtondc",38.8853496,-77.0386278,0,"1952-04-09",100
"39","washingtondc",1952,"Spring",189.813953488372,"washingtondc","Summer",189.404761904762,"washingtondc",38.8853496,-77.0386278,0,"1952-04-09",100
"40","washingtondc",1952,"Spring",189.813953488372,"washingtondc","Fall",55.2142857142857,"washingtondc",38.8853496,-77.0386278,0,"1952-04-09",100
"41","washingtondc",1952,"Summer",318.443181818182,"washingtondc","Winter",0.322222222222222,"washingtondc",38.8853496,-77.0386278,0,"1952-04-09",100
"42","washingtondc",1952,"Summer",318.443181818182,"washingtondc","Spring",71.4302325581395,"washingtondc",38.8853496,-77.0386278,0,"1952-04-09",100
"43","washingtondc",1952,"Summer",318.443181818182,"washingtondc","Summer",189.404761904762,"washingtondc",38.8853496,-77.0386278,0,"1952-04-09",100
"44","washingtondc",1952,"Summer",318.443181818182,"washingtondc","Fall",55.2142857142857,"washingtondc",38.8853496,-77.0386278,0,"1952-04-09",100
"45","washingtondc",1952,"Fall",178.517857142857,"washingtondc","Winter",0.322222222222222,"washingtondc",38.8853496,-77.0386278,0,"1952-04-09",100
"46","washingtondc",1952,"Fall",178.517857142857,"washingtondc","Spring",71.4302325581395,"washingtondc",38.8853496,-77.0386278,0,"1952-04-09",100
"47","washingtondc",1952,"Fall",178.517857142857,"washingtondc","Summer",189.404761904762,"washingtondc",38.8853496,-77.0386278,0,"1952-04-09",100
"48","washingtondc",1952,"Fall",178.517857142857,"washingtondc","Fall",55.2142857142857,"washingtondc",38.8853496,-77.0386278,0,"1952-04-09",100
"49","washingtondc",1953,"Winter",99.0449438202247,"washingtondc","Winter",5.36666666666667,"washingtondc",38.8853496,-77.0386278,0,"1953-03-27",86
"50","washingtondc",1953,"Winter",99.0449438202247,"washingtondc","Summer",182.511363636364,"washingtondc",38.8853496,-77.0386278,0,"1953-03-27",86
"51","washingtondc",1953,"Winter",99.0449438202247,"washingtondc","Fall",79.5068493150685,"washingtondc",38.8853496,-77.0386278,0,"1953-03-27",86
"52","washingtondc",1953,"Summer",316.820224719101,"washingtondc","Winter",5.36666666666667,"washingtondc",38.8853496,-77.0386278,0,"1953-03-27",86
"53","washingtondc",1953,"Summer",316.820224719101,"washingtondc","Summer",182.511363636364,"washingtondc",38.8853496,-77.0386278,0,"1953-03-27",86
"54","washingtondc",1953,"Summer",316.820224719101,"washingtondc","Fall",79.5068493150685,"washingtondc",38.8853496,-77.0386278,0,"1953-03-27",86
"55","washingtondc",1953,"Fall",226.561643835616,"washingtondc","Winter",5.36666666666667,"washingtondc",38.8853496,-77.0386278,0,"1953-03-27",86
"56","washingtondc",1953,"Fall",226.561643835616,"washingtondc","Summer",182.511363636364,"washingtondc",38.8853496,-77.0386278,0,"1953-03-27",86
"57","washingtondc",1953,"Fall",226.561643835616,"washingtondc","Fall",79.5068493150685,"washingtondc",38.8853496,-77.0386278,0,"1953-03-27",86
"58","washingtondc",1954,"Winter",112.838235294118,"washingtondc","Winter",-5.32352941176471,"washingtondc",38.8853496,-77.0386278,0,"1954-04-06",96
"59","washingtondc",1954,"Winter",112.838235294118,"washingtondc","Spring",71.2359550561798,"washingtondc",38.8853496,-77.0386278,0,"1954-04-06",96
"60","washingtondc",1954,"Winter",112.838235294118,"washingtondc","Summer",181.534090909091,"washingtondc",38.8853496,-77.0386278,0,"1954-04-06",96
"61","washingtondc",1954,"Winter",112.838235294118,"washingtondc","Fall",97.3406593406593,"washingtondc",38.8853496,-77.0386278,0,"1954-04-06",96
