Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1144937,-,-,-,38.89,-77.02,-5,26,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky GHI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2016,1,1,0,0,0,0,0,0,1,0.122,1.7000000000000002,93.12,3,1010,N/A
2016,1,1,0,30,0,0,0,0,1,0.122,1.7000000000000002,99.96000000000001,3,1010,N/A
2016,1,1,1,0,0,0,0,0,1,0.122,1.7000000000000002,96.54,3,1010,N/A
2016,1,1,1,30,0,0,0,0,1,0.122,1.7000000000000002,96.54,3,1010,N/A
2016,1,1,2,0,0,0,0,0,1,0.122,1.8,95.84,3,1010,N/A
2016,1,1,2,30,0,0,0,0,1,0.122,1.8,95.84,3,1010,N/A
2016,1,1,3,0,0,0,0,0,1,0.122,1.9000000000000001,94.46000000000001,3,1010,N/A
2016,1,1,3,30,0,0,0,0,1,0.122,2,94.45,3,1010,N/A
2016,1,1,4,0,0,0,0,0,0,0.122,2.3000000000000003,91.3,3,1010,N/A
2016,1,1,4,30,0,0,0,0,0,0.122,2.3000000000000003,91.3,2,1010,N/A
2016,1,1,5,0,0,0,0,0,0,0.122,2.4000000000000004,88.13,2,1010,N/A
2016,1,1,5,30,0,0,0,0,0,0.122,2.2,88.12,2,1010,N/A
2016,1,1,6,0,0,0,0,0,0,0.122,2.1,86.2,2,1010,N/A
2016,1,1,6,30,0,0,0,0,0,0.122,2,86.19,2,1010,N/A
2016,1,1,7,0,0,0,0,0,0,0.122,2,85.36,2,1010,N/A
2016,1,1,7,30,0,0,0,0,0,0.122,2.2,85.36,2,1010,N/A
2016,1,1,8,0,29,150,42,55,0,0.122,2.5,84.29,3,1010,N/A
2016,1,1,8,30,59,245,99,130,0,0.122,2.8000000000000003,84.28,3,1010,N/A
2016,1,1,9,0,86,310,159,208,0,0.122,3.1,75.29,3,1010,N/A
2016,1,1,9,30,110,348,215,282,0,0.122,3.4000000000000004,75.28,3,1010,N/A
2016,1,1,10,0,122,402,266,349,-1,0.122,3.8000000000000003,67.42,4,1010,N/A
2016,1,1,10,30,167,232,261,403,-1,0.122,3.9000000000000004,67.4,4,1010,N/A
2016,1,1,11,0,185,239,290,444,-1,0.122,4.1000000000000005,62.71,5,1010,N/A
2016,1,1,11,30,175,384,351,472,-1,0.122,4.1000000000000005,62.690000000000005,5,1010,N/A
2016,1,1,12,0,172,427,373,484,-1,0.122,4.3,63.09,5,1010,N/A
2016,1,1,12,30,185,356,352,483,-1,0.122,4.3,63.07,5,1010,N/A
2016,1,1,13,0,160,450,365,466,-1,0.122,4.4,63.42,6,1010,N/A
2016,1,1,13,30,188,138,247,436,-1,0.122,4.2,63.4,6,1010,N/A
2016,1,1,14,0,164,216,249,392,-1,0.122,4.1000000000000005,63.96,6,1010,N/A
2016,1,1,14,30,145,195,213,335,-1,0.122,3.8000000000000003,63.96,5,1010,N/A
2016,1,1,15,0,117,185,170,268,0,0.122,3.6,66.42,5,1010,N/A
2016,1,1,15,30,87,162,122,193,0,0.122,3.3000000000000003,71.22,4,1010,N/A
2016,1,1,16,0,54,128,73,114,0,0.122,3.1,72.48,4,1010,N/A
2016,1,1,16,30,23,51,26,41,0,0.122,2.9000000000000004,77.8,3,1010,N/A
2016,1,1,17,0,0,0,0,0,0,0.122,2.8000000000000003,82.22,3,1010,N/A
2016,1,1,17,30,0,0,0,0,0,0.122,2.6,88.36,2,1010,N/A
2016,1,1,18,0,0,0,0,0,-1,0.122,2.5,84.06,1,1010,N/A
2016,1,1,18,30,0,0,0,0,-1,0.122,2.3000000000000003,90.37,0,1010,N/A
2016,1,1,19,0,0,0,0,0,-2,0.11800000000000001,2.1,86.33,0,1010,N/A
2016,1,1,19,30,0,0,0,0,-2,0.11800000000000001,1.9000000000000001,86.33,0,1010,N/A
2016,1,1,20,0,0,0,0,0,-2,0.11800000000000001,1.8,82.88,0,1010,N/A
2016,1,1,20,30,0,0,0,0,-2,0.11800000000000001,1.7000000000000002,82.87,0,1010,N/A
2016,1,1,21,0,0,0,0,0,-3,0.11800000000000001,1.6,86.02,0,1010,N/A
2016,1,1,21,30,0,0,0,0,-3,0.11800000000000001,1.6,86.03,0,1010,N/A
2016,1,1,22,0,0,0,0,0,-3,0.11800000000000001,1.6,84.24,-1,1010,N/A
2016,1,1,22,30,0,0,0,0,-3,0.11800000000000001,1.7000000000000002,84.24,-1,1010,N/A
2016,1,1,23,0,0,0,0,0,-3,0.11800000000000001,1.9000000000000001,83.8,-1,1010,N/A
2016,1,1,23,30,0,0,0,0,-3,0.11800000000000001,2,83.79,-1,1010,N/A
2016,1,2,0,0,0,0,0,0,-3,0.11800000000000001,2.2,84.03,-1,1010,N/A
2016,1,2,0,30,0,0,0,0,-3,0.11800000000000001,2.3000000000000003,84.03,-1,1010,N/A
2016,1,2,1,0,0,0,0,0,-3,0.11800000000000001,2.4000000000000004,84.08,-1,1010,N/A
2016,1,2,1,30,0,0,0,0,-3,0.11800000000000001,2.4000000000000004,84.09,-1,1010,N/A
2016,1,2,2,0,0,0,0,0,-3,0.11800000000000001,2.4000000000000004,89.95,-1,1010,N/A
2016,1,2,2,30,0,0,0,0,-3,0.11800000000000001,2.3000000000000003,83.58,-1,1010,N/A
2016,1,2,3,0,0,0,0,0,-3,0.11800000000000001,2.2,84.41,-1,1010,N/A
2016,1,2,3,30,0,0,0,0,-3,0.11800000000000001,2,84.4,-1,1010,N/A
2016,1,2,4,0,0,0,0,0,-3,0.11800000000000001,1.9000000000000001,88.37,-2,1010,N/A
2016,1,2,4,30,0,0,0,0,-3,0.11800000000000001,1.8,88.38,-2,1010,N/A
2016,1,2,5,0,0,0,0,0,-3,0.11800000000000001,1.7000000000000002,87.32000000000001,-2,1010,N/A
2016,1,2,5,30,0,0,0,0,-3,0.11800000000000001,1.6,87.33,-2,1010,N/A
2016,1,2,6,0,0,0,0,0,-3,0.11800000000000001,1.6,86.85000000000001,-2,1010,N/A
2016,1,2,6,30,0,0,0,0,-3,0.11800000000000001,1.6,86.86,-2,1010,N/A
2016,1,2,7,0,0,0,0,0,-3,0.11800000000000001,1.6,87.27,-2,1010,N/A
2016,1,2,7,30,0,0,0,0,-3,0.11800000000000001,1.8,81.10000000000001,-1,1010,N/A
2016,1,2,8,0,26,387,57,57,-2,0.11800000000000001,2.1,81.95,0,1010,N/A
2016,1,2,8,30,42,575,135,135,-2,0.11800000000000001,2.5,76.25,1,1010,N/A
2016,1,2,9,0,52,689,215,215,-3,0.11800000000000001,2.9000000000000004,68.33,2,1010,N/A
2016,1,2,9,30,60,765,290,290,-3,0.11800000000000001,3,63.63,3,1010,N/A
2016,1,2,10,0,64,821,357,357,-3,0.11800000000000001,3.3000000000000003,58.980000000000004,4,1010,N/A
2016,1,2,10,30,68,856,413,413,-3,0.11800000000000001,3.5,58.95,4,1010,N/A
2016,1,2,11,0,71,879,456,456,-3,0.11800000000000001,3.7,55.92,5,1010,N/A
2016,1,2,11,30,73,893,484,484,-3,0.11800000000000001,3.9000000000000004,55.88,5,1010,N/A
2016,1,2,12,0,73,901,498,498,-2,0.11800000000000001,4.1000000000000005,53.04,6,1010,N/A
2016,1,2,12,30,73,900,497,497,-2,0.11800000000000001,4.1000000000000005,53,6,1010,N/A
2016,1,2,13,0,71,897,481,481,-2,0.11800000000000001,4.2,50.39,7,1010,N/A
2016,1,2,13,30,69,882,449,449,-2,0.11800000000000001,4.1000000000000005,50.370000000000005,7,1010,N/A
2016,1,2,14,0,65,861,405,405,-2,0.11800000000000001,4,51.86,7,1010,N/A
2016,1,2,14,30,61,825,347,347,-2,0.11800000000000001,3.4000000000000004,51.85,7,1010,N/A
2016,1,2,15,0,55,777,279,279,0,0.11800000000000001,2.9000000000000004,57.39,7,1010,N/A
2016,1,2,15,30,47,698,202,202,0,0.11800000000000001,2.3000000000000003,65.87,5,1010,N/A
2016,1,2,16,0,36,583,122,122,0,0.11800000000000001,1.7000000000000002,81.62,4,1010,N/A
2016,1,2,16,30,21,373,45,45,0,0.11800000000000001,1.7000000000000002,87.62,3,1010,N/A
2016,1,2,17,0,0,0,0,0,-1,0.11800000000000001,1.7000000000000002,79.67,2,1010,N/A
2016,1,2,17,30,0,0,0,0,-1,0.11800000000000001,1.7000000000000002,85.58,1,1010,N/A
2016,1,2,18,0,0,0,0,0,-1,0.11800000000000001,1.7000000000000002,84.18,1,1010,N/A
2016,1,2,18,30,0,0,0,0,-1,0.11800000000000001,1.7000000000000002,84.18,1,1010,N/A
2016,1,2,19,0,0,0,0,0,-1,0.11800000000000001,1.7000000000000002,82.88,1,1010,N/A
2016,1,2,19,30,0,0,0,0,-1,0.11800000000000001,1.6,89.07000000000001,0,1010,N/A
2016,1,2,20,0,0,0,0,0,-1,0.11800000000000001,1.6,87.97,0,1010,N/A
2016,1,2,20,30,0,0,0,0,-1,0.11800000000000001,1.6,87.95,0,1010,N/A
2016,1,2,21,0,0,0,0,0,-1,0.11800000000000001,1.7000000000000002,86.68,0,1010,N/A
2016,1,2,21,30,0,0,0,0,-1,0.11800000000000001,1.7000000000000002,86.67,0,1010,N/A
